,name,position,team,value,total_points,xP,goals_scored,assists,goals_conceded,expected_goals,expected_assists,expected_goal_involvements,influence,creativity,threat,minutes,was_home,opponent_team,tr_total_points,tr_xP,tr_goals_scored,tr_assists,tr_goals_conceded,tr_expected_goals,tr_expected_assists,tr_expected_goal_involvements,tr_influence,tr_creativity,tr_threat,tr_minutes
34,Alisson_Ramses Becker_468,,,59,2,,0,0,1,,,,14.8,0.0,0.0,90,True,1,,,,,,,,,,,,0
67,Ayoze_Pérez_326,,,61,2,,0,0,1,,,,5.4,1.0,6.0,90,False,18,,,,,,,,,,,,0
213,Greg_Halford_97,,,40,0,,0,0,0,,,,0.0,0.0,0.0,0,False,11,,,,,,,,,,,,0
511,Steve_Cook_27,,,45,0,,0,0,4,,,,25.6,24.6,4.0,90,False,14,,,,,,,,,,,,0
39,Andrew_Robertson_247,,,66,1,,0,0,1,,,,8.6,2.8,0.0,82,True,1,,,,,,,,,,,,0
229,Ilkay_Gündogan_274,,,54,0,,0,0,0,,,,0.0,0.0,0.0,0,False,16,,,,,,,,,,,,0
539,Victor_Lindelöf_292,,,48,2,,0,0,1,,,,17.4,0.6,0.0,90,True,2,,,,,,,,,,,,0
533,Troy_Deeney_396,,,58,1,,0,0,0,,,,4.6,11.8,19.0,36,True,15,,,,,,,,,,,,0
261,Jeffrey_Schlupp_141,,,44,2,,0,0,1,,,,5.0,0.7,20.0,68,True,6,,,,,,,,,,,,0
181,Etienne_Capoue_389,,,49,2,,0,0,1,,,,25.6,3.8,0.0,90,True,15,,,,,,,,,,,,0
112,Christopher_Schindler_192,,,44,2,,0,0,1,,,,18.8,0.0,17.0,90,False,9,,,,,,,,,,,,0
5,Abd-Al-Ali Morakinyo Olaposi_Koiki_564,,,40,0,,0,0,0,,,,0.0,0.0,0.0,0,True,19,,,,,,,,,,,,0
24,Alexandre_Lacazette_22,,,95,1,,0,0,0,,,,1.4,0.9,10.0,19,False,12,,,,,,,,,,,,0
203,Gary_Cahill_114,,,51,0,,0,0,0,,,,0.0,0.0,0.0,0,False,7,,,,,,,,,,,,0
134,Danny_Ings_258,,,56,0,,0,0,0,,,,0.0,0.0,0.0,0,True,13,,,,,,,,,,,,0
436,Phil_Jones_285,,,51,1,,0,0,0,,,,0.6,0.1,0.0,8,True,2,,,,,,,,,,,,0
296,Josh_Murphy_106,,,48,3,,0,0,0,,,,5.4,14.6,31.0,77,False,11,,,,,,,,,,,,0
38,Andreas_Pereira_481,,,45,1,,0,0,0,,,,1.0,1.2,0.0,14,True,2,,,,,,,,,,,,0
111,Christian_Kabasele_380,,,44,0,,0,0,0,,,,0.0,0.0,0.0,0,True,15,,,,,,,,,,,,0
540,Victor_Moses_117,,,56,0,,0,0,0,,,,0.0,0.0,0.0,0,False,7,,,,,,,,,,,,0
418,Olivier_Giroud_133,,,77,2,,0,0,0,,,,2.2,26.3,12.0,75,False,7,,,,,,,,,,,,0
304,Juninho_Bacuna_208,,,43,0,,0,0,0,,,,0.0,0.0,0.0,0,False,9,,,,,,,,,,,,0
209,Glenn_Murray_62,,,65,1,,0,0,0,,,,0.0,1.2,18.0,16,True,8,,,,,,,,,,,,0
274,John_Ruddy_421,,,43,0,,0,0,0,,,,0.0,0.0,0.0,0,False,17,,,,,,,,,,,,0
431,Petr_Cech_1,,,48,0,,0,0,0,,,,0.0,0.0,0.0,0,False,12,,,,,,,,,,,,0
508,Stephen_Ward_71,,,47,0,,0,0,0,,,,0.0,0.0,0.0,0,True,19,,,,,,,,,,,,0
78,Ben_Mee_70,,,47,6,,0,0,0,,,,17.4,0.3,7.0,90,True,19,,,,,,,,,,,,0
538,Vicente_Iborra_228,,,47,0,,0,0,0,,,,0.0,0.0,0.0,0,True,5,,,,,,,,,,,,0
21,Aleksandar_Mitrovic_480,,,67,7,,1,0,0,,,,34.2,15.5,48.0,90,True,10,,,,,,,,,,,,0
443,Ragnar_Klavan_244,,,44,0,,0,0,0,,,,0.0,0.0,0.0,0,True,1,,,,,,,,,,,,0
329,Lee_Grant_520,,,49,0,,0,0,0,,,,0.0,0.0,0.0,0,True,2,,,,,,,,,,,,0
60,Ashley Darel Jazz_Richards_96,,,39,0,,0,0,0,,,,0.0,0.0,0.0,0,False,11,,,,,,,,,,,,0
252,Jan_Bednarek_335,,,39,0,,0,0,3,,,,17.4,0.1,0.0,90,True,13,,,,,,,,,,,,0
523,Tim_Ream_180,,,42,7,,0,0,0,,,,15.2,1.0,0.0,90,True,10,,,,,,,,,,,,0
478,Sam_Baldock_64,,,45,0,,0,0,0,,,,0.0,0.0,0.0,0,True,8,,,,,,,,,,,,0
219,Harry_Maguire_220,,,54,2,,0,0,1,,,,26.6,10.8,4.0,90,True,5,,,,,,,,,,,,0
461,Romain_Saïss_426,,,42,0,,0,0,0,,,,0.0,0.0,0.0,0,False,17,,,,,,,,,,,,0
218,Harry_Kane_372,,,126,6,,1,0,3,,,,35.4,4.7,7.0,90,True,20,,,,,,,,,,,,0
365,Martin_Kelly_140,,,39,0,,0,0,0,,,,0.0,0.0,0.0,0,True,6,,,,,,,,,,,,0
500,Simon_Mignolet_237,,,48,0,,0,0,0,,,,0.0,0.0,0.0,0,True,1,,,,,,,,,,,,0
408,Nathan_Aké_31,,,50,7,,1,0,4,,,,59.0,0.1,50.0,81,False,14,,,,,,,,,,,,0
557,Xherdan_Shaqiri_462,,,71,2,,0,0,1,,,,14.6,26.0,13.0,90,True,1,,,,,,,,,,,,0
420,Oriol_Romeu Vidal_339,,,43,1,,0,0,3,,,,22.0,0.3,0.0,58,True,13,,,,,,,,,,,,0
133,Danny_Batth_428,,,40,0,,0,0,0,,,,0.0,0.0,0.0,0,False,17,,,,,,,,,,,,0
429,Pedro_Obiang_413,,,43,0,,0,0,0,,,,0.0,0.0,0.0,0,False,4,,,,,,,,,,,,0
