,gw,name,position,team,value,total_points,xP,goals_scored,assists,goals_conceded,expected_goals,expected_assists,expected_goal_involvements,influence,creativity,threat,starts,clean_sheets,saves,minutes,was_home,opponent_team,tr_total_points,tr_xP,tr_goals_scored,tr_assists,tr_goals_conceded,tr_expected_goals,tr_expected_assists,tr_expected_goal_involvements,tr_influence,tr_creativity,tr_threat,tr_starts,tr_clean_sheets,tr_saves,tr_minutes
515,2024-25-1,Ross Stewart,FWD,Southampton,45,0,-0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,15,,,,,,,,,,,,,,,0.0
56,2024-25-1,BenoÃ®t Badiashile,DEF,Chelsea,45,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,True,13,0.01861427094105481,0.026680455015511893,0.0,0.0,0.022750775594622543,0.0001654601861427094,0.0003309203722854188,0.0004963805584281283,0.23640124095139609,0.06380558428128232,0.031023784901758014,0.011375387797311272,0.002068252326783868,0.0,48.35
548,2024-25-1,Sven Botman,DEF,Newcastle,45,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,True,17,0.022727272727272728,0.01944444444444444,0.0012626262626262627,0.0012626262626262627,0.02904040404040404,0.0003787878787878788,0.00012626262626262626,0.000505050505050505,0.278030303030303,0.03156565656565657,0.07196969696969698,0.011363636363636364,0.0012626262626262627,0.0,39.6
190,2024-25-1,FÃ¡bio Freitas Gouveia Carvalho,MID,Brentford,50,1,0.5,0,0,0,0.0,0.0,0.0,2.2,0.3,0.0,0,0,0,6,True,7,,,,,,,,,,,,,,,0.0
347,2024-25-1,Lamare Bogarde,DEF,Aston Villa,40,0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,19,,,,,,,,,,,,,,,0.0
177,2024-25-1,Evan Ferguson,FWD,Brighton,55,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,8,0.030805687203791468,0.03246445497630332,0.0,0.0,0.014218009478672985,0.0028436018957345975,0.0002843601895734597,0.0031279620853080577,0.045497630331753545,0.06966824644549763,0.22985781990521326,0.009478672985781991,0.002369668246445498,0.0,21.1
402,2024-25-1,Mason Mount,MID,Man Utd,65,2,1.5,0,0,0,0.3,0.03,0.33,10.2,22.8,25.0,1,1,0,60,True,9,0.09821428571428571,0.1107142857142857,0.008928571428571428,0.0,0.0625,0.0015178571428571426,0.00044642857142857147,0.0019642857142857144,0.4714285714285715,0.1901785714285714,0.21428571428571427,0.008928571428571428,0.0,0.0,5.6
475,2024-25-1,Pablo Sarabia,MID,Wolves,55,1,1.0,0,0,0,0.08,0.01,0.09,7.4,1.3,17.0,0,0,0,6,False,1,0.04799301919720768,0.051919720767888304,0.002617801047120419,0.0017452006980802793,0.01832460732984293,0.0037260034904013964,0.0019197207678883074,0.005645724258289703,0.22652705061082026,0.35087260034904016,0.2582897033158813,0.011343804537521814,0.002617801047120419,0.0,57.3
273,2024-25-1,Jefferson Lerma SolÃ­s,MID,Crystal Palace,50,1,1.5,0,0,1,0.0,0.32,0.32,3.4,14.4,0.0,0,0,0,16,False,4,0.02587646076794658,0.01969949916527546,0.0008347245409015025,0.0,0.021702838063439065,0.0005843071786310518,0.0005008347245409016,0.0010851419031719532,0.21285475792988315,0.1141068447412354,0.05843071786310518,0.010851419031719533,0.001669449081803005,0.0,59.9
135,2024-25-1,David Datro Fofana,FWD,Chelsea,55,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,True,13,0.05707762557077625,0.04303652968036529,0.0045662100456621,0.001141552511415525,0.02054794520547945,0.005228310502283105,0.0003424657534246576,0.005570776255707763,0.2420091324200913,0.12751141552511416,0.3116438356164384,0.01141552511415525,0.001141552511415525,0.0,43.8
