assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,100,75,0,0,438098,None,,-1,1,-1,1,0.0,599,271,None,,0,3,1.0,0.8,0,0.00,0,0.00,0,0.00,0.00,0,0,Fábio,0.0,598,270,0,0,0,0.0,602,271,1,False,0.0,597,266,0,,2024-08-12T17:00:05.432893Z,54,167,104,0,0,4,0,,438098.jpg,0.0,598,270,0,0,0,Ferreira Vieira,0.0,564,245,False,None,0,0,a,1,3,0.0,588,265,0,401,317,1192,318,0.0,0.0,Fábio Vieira,0
0,0,1,75,None,0,0.0,205651,None,,-1,1,-2,2,0.8,284,30,None,,0,4,0.8,1.0,0,0.00,0.0,0.00,0.0,0.00,0.15,2.7,0.0,Gabriel,0.0,619,68,0,0.0,0,0.1,336,36,2,False,0.2,328,35,5,Groin Injury - 75% chance of playing,2024-08-25T11:00:05.312580Z,68,37,17,0,0,None,0,,205651.jpg,0.0,619,68,0,0,0.0,Fernando de Jesus,1.4,170,29,False,None,0,0.0,d,1,3,0.0,621,68,0,15104,2934,114387,48242,0.0,0.0,G.Jesus,1
0,1,47,None,None,2,1.0,226597,None,,0,0,0,0,3.3,219,64,None,,0,2,7.0,7.0,6,0.04,0.02,0.16,0.08,0.12,1.75,0.88,0.06,Gabriel,6.0,31,8,0,0.0,0,4.6,162,51,3,False,35.2,96,30,180,,None,60,80,5,0,0,None,0,,226597.jpg,6.0,35,10,0,0,0.0,dos Santos Magalhães,13.0,28,9,False,None,2,1.0,a,1,3,8.0,153,32,12,84732,48009,114023,52116,1.0,2.0,Gabriel,1
1,3,46,None,None,2,1.0,219847,None,,0,0,1,-1,30.2,69,5,None,,1,4,8.0,8.0,2,0.07,0.04,0.73,0.37,0.66,1.75,0.88,0.33,Kai,7.0,17,3,0,0.0,1,14.5,28,6,4,False,54.8,33,5,180,,None,81,12,4,0,0,3,0,,219847.jpg,7.0,18,3,0,0,0.0,Havertz,17.2,18,5,False,None,2,1.0,a,1,3,61.0,20,8,14,526596,175642,225659,160531,0.9,1.7,Havertz,0
0,0,0,0,0,0,0,463748,None,,0,0,0,0,0.0,363,27,None,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Karl,0.0,379,45,0,0,0,0.0,383,46,5,False,0.0,375,46,0,Loaned to Real Valladolid,2024-08-14T08:31:46.556082Z,40,602,63,0,0,None,0,,463748.jpg,0.0,379,45,0,0,0,Hein,0.1,507,63,False,None,0,0,u,1,3,0.0,305,25,0,0,0,1739,509,0.0,0.0,Hein,0
0,0,26,None,None,1,0.91,445122,None,,0,0,0,0,5.5,189,54,None,,0,2,4.5,4.5,6,0.02,0.02,0.04,0.04,0.02,1.27,1.15,0.02,Jurriën,3.5,93,35,0,0.0,0,1.8,267,90,6,False,3.4,281,102,99,,None,55,130,13,0,0,None,0,,445122.jpg,3.5,96,37,0,0,0.0,Timber,1.0,191,69,False,None,1,0.91,a,1,3,10.0,136,27,7,22769,18470,20630,8648,0.6,1.3,J.Timber,0
0,0,0,None,None,0,0,85955,None,,-1,1,-1,1,0.0,526,232,None,,0,3,1.0,1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Jorge Luiz,0.0,535,233,0,0,0,0.0,534,231,7,False,0.0,527,225,0,,None,49,293,190,0,0,None,0,,85955.jpg,0.0,535,233,0,0,0,Frello Filho,0.3,316,105,False,None,0,0,a,1,3,0.0,495,210,0,4812,2197,11812,5048,0.0,0.0,Jorginho,0
0,0,0,None,None,0,0,440854,None,,-1,1,-1,1,0.0,540,197,None,,0,2,1.0,1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Jakub,0.0,548,195,0,0,0,0.0,548,197,8,False,0.0,541,197,0,,None,49,318,40,0,0,None,0,,440854.jpg,0.0,548,195,0,0,0,Kiwior,0.2,379,142,False,None,0,0,a,1,3,0.0,512,192,0,1307,599,6159,2209,0.0,0.0,Kiwior,0
0,0,25,None,None,2,1.17,444145,None,,0,0,0,0,63.0,23,20,None,,0,3,4.0,4.0,3,0.60,0.35,0.68,0.4,0.08,1.59,0.93,0.05,Gabriel,3.0,110,45,0,0.0,0,11.8,47,33,9,False,20.0,179,75,154,,None,70,28,15,0,0,None,0,,444145.jpg,3.0,111,46,0,0,0.0,Martinelli Silva,2.7,117,38,False,None,2,1.17,a,1,3,35.0,54,33,6,35612,14440,70319,36389,0.4,0.9,Martinelli,0
0,0,3,None,None,0,0.0,200641,None,,0,0,0,0,0.0,556,248,None,,0,3,1.5,1.5,1,0.00,0.0,0.00,0.0,0.00,0.02,0.9,0.0,Reiss,0.5,304,153,0,0.0,0,0.2,322,164,10,False,2.0,301,150,2,,None,50,207,132,0,0,None,0,,200641.jpg,1.0,268,136,0,0,0.0,Nelson,0.0,525,214,False,None,0,0.0,a,1,3,0.0,532,231,1,610,358,1333,532,0.1,0.2,Nelson,0
